url,name,stars,pricing/rate/amount,address,city,country,roomTypeCategory,bedroomLabel,bedLabel,bathroomLabel,minNights,maxNights,numberOfGuests,guestControls/allowsEvents,guestControls/allowsPets,Air conditioning,Backyard,Bathtub,Bed linens,Cable TV,Carbon monoxide alarm,Coffee maker,Cooking basics,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Elevator,Essentials,Extra pillows and blankets,Fire extinguisher,First aid kit,Free parking on premises,Hair dryer,Hangers,Heating,Hot water,Hot water kettle,Iron,Kitchen,Long term stays allowed,Luggage dropoff allowed,Microwave,Oven,Patio or balcony,Pool,Private entrance,Refrigerator,Shampoo,Smoke alarm,Stove,TV,Washer,Wifi
https://www.airbnb.com/rooms/10007690,Period Home in Dublin 9,5.0,495,"Dublin 9, County Dublin, Ireland",Dublin 9,Ireland,entire_home,3.0,5.0,1.0,2,90,8,FALSE,FALSE,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/10035766,"Apartment in the Heart of Dublin ,Best Location",4.54,541,"Dublin, Ireland",Dublin,Ireland,entire_home,1.0,2.0,1.5,1,1125,5,FALSE,TRUE,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1
https://www.airbnb.com/rooms/10044794,"Entire Apt in Tung Chung, near Airport, Great View",4.88,113,"Hong Kong, New Territories, Hong Kong",Hong Kong,Hong Kong,entire_home,1.0,1.0,1.0,2,20,2,FALSE,FALSE,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1
https://www.airbnb.com/rooms/10052652,New luxury Puerta del Sol,4.94,338,"Madrid, Comunidad de Madrid, Spain",Madrid,Spain,entire_home,3.0,5.0,3.0,2,1125,7,FALSE,FALSE,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1
https://www.airbnb.com/rooms/10055942,Villa Colors Of South Beach.,4.92,1269,"Miami Beach, Florida, United States",Miami Beach,United States,entire_home,5.0,9.0,5.0,3,1125,16,FALSE,TRUE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/10062403,5BR Villa Dolce Vita Walking Distance to the Beach,4.86,701,"Phuket , Phuket, Thailand",Phuket ,Thailand,entire_home,5.0,7.0,5.0,2,730,12,TRUE,TRUE,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/10068148,Roma Charming House,5.0,2514,"Rome, Lazio, Italy",Roma,Italy,entire_home,3.0,5.0,2.0,2,200,7,TRUE,TRUE,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1
https://www.airbnb.com/rooms/1007165866519606100,260sqm同层2units+阳台6床公寓/Em贵妇商场/BTS phrom phong,4.89,268,"Watthana, Krung Thep Maha Nakhon, Thailand",Watthana,Thailand,entire_home,4.0,6.0,4.0,1,365,12,FALSE,FALSE,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/10081713,Cheerful Spacious 3Br.Apartment in Maadi Sarayat..,5.0,150,"Maadi as Sarayat Al Gharbeyah, Cairo Governorate, Egypt",Maadi as Sarayat Al Gharbeyah,Egypt,entire_home,3.0,3.0,2.5,4,31,6,FALSE,TRUE,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
https://www.airbnb.com/rooms/1008717,Big Apartment with terrace!,4.75,412,"Barcelona, Catalonia, Spain",Barcelona,Spain,entire_home,4.0,9.0,4.5,1,365,10,FALSE,FALSE,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1
